,abstract,date,doctype,headline,id,news_desk,paragraph,section,subsection,text,type
0,"Rachel L Swarns The Working Life column observes that hundreds of unpaid creditors are preparing to fight in bankruptcy court over remains of FEGS Health and Human Services, including former chief executive Gail Magaliff, who is claiming $1.2 million in deferred compensation; notes that Magaliff's claim has led to outrage among many who see her as major contributor to downfall of what was one of New York City's largest social service agencies.",2015-05-04,article,"Nonprofit’s Chief During Its Fall Seeks $1.2 Million Payday, and Outrage Ensues",554655ec7988104245edf6ae,Metro,"Hundreds of unpaid creditors are gearing up in bankruptcy court, preparing to battle over the remains of FEGS Health and Human Services.",N.Y. / Region,,"Nonprofit’s Chief During Its Fall Seeks $1.2 Million Payday, and Outrage Ensues Hundreds of unpaid creditors are gearing up in bankruptcy court, preparing to battle over the remains of FEGS Health and Human Services. Rachel L Swarns The Working Life column observes that hundreds of unpaid creditors are preparing to fight in bankruptcy court over remains of FEGS Health and Human Services, including former chief executive Gail Magaliff, who is claiming $1.2 million in deferred compensation; notes that Magaliff's claim has led to outrage among many who see her as major contributor to downfall of what was one of New York City's largest social service agencies.",News
1,"Ginia Bellafante Big City column notes that birthrate in New York City has been on steady decline, hitting lowest level since Great Depression, but not in wealthy neighborhoods; observes TriBeCa logged one of highest birthrates in city in 2013; suggests drop among working- and middle-class families in city may be due to cost of child-rearing in age of such heightened expectations, particularly for education.",2015-05-03,article,Baby Boom Among New York&#8217;s Affluent,5542af1a7988104edaaf45da,Metro,"The city&#8217;s birthrate is steadily declining, but not among the affluent, and that rise is changing the feel of the city.",N.Y. / Region,,"Baby Boom Among New York&#8217;s Affluent The city&#8217;s birthrate is steadily declining, but not among the affluent, and that rise is changing the feel of the city. Ginia Bellafante Big City column notes that birthrate in New York City has been on steady decline, hitting lowest level since Great Depression, but not in wealthy neighborhoods; observes TriBeCa logged one of highest birthrates in city in 2013; suggests drop among working- and middle-class families in city may be due to cost of child-rearing in age of such heightened expectations, particularly for education.",News
2,"World Health Organization acknowledges shortcomings in its response to Ebola crisis and promises to overhaul procedures for dealing with epidemics; says funding will be restored to outbreak and emergency response departments, which had shrunk in recent years due to general budget cuts.",2015-04-21,article,W.H.O. Promises Reform After Criticism Over Ebola Response,55354a647988104c51d11af9,Foreign,"The World Health Organization acknowledged it was not prepared to deal with the Ebola outbreak, and vowed to overhaul the way it handles epidemics.",World,Africa,"W.H.O. Promises Reform After Criticism Over Ebola Response The World Health Organization acknowledged it was not prepared to deal with the Ebola outbreak, and vowed to overhaul the way it handles epidemics. World Health Organization acknowledges shortcomings in its response to Ebola crisis and promises to overhaul procedures for dealing with epidemics; says funding will be restored to outbreak and emergency response departments, which had shrunk in recent years due to general budget cuts.",News
3,,2015-04-27,article,Nursing Home Care,553de3697988102282b11a74,Letters,The president of the American Health Care Association says the quality of care at nursing homes has improved.,Opinion,,Nursing Home Care The president of the American Health Care Association says the quality of care at nursing homes has improved.  ,Letter
4,,2015-05-02,article,Money for the National Institutes of Health,55442c357988107e91b46a43,Letters,"Wendy Luftig, chairwoman of the Bioethical Issues Committee of the New York City Bar Association, calls on Congress to seize the moment and act.",Opinion,,"Money for the National Institutes of Health Wendy Luftig, chairwoman of the Bioethical Issues Committee of the New York City Bar Association, calls on Congress to seize the moment and act.  ",Letter
5,"World Health Organization's finding that herbicide glyphosate 'probably' causes cancer prompts Health Ministry in Colombia to recommend stopping controversial American-funded program that sprays the chemical on crops of coca, plant from which cocaine is derived.",2015-04-29,article,Colombia: Officials Urge End to Herbicide’s Use on Coca,5540423e7988106d7d5aa3b6,Foreign,Colombia’s Health Ministry has recommended halting the spraying of an herbicide widely used in an American-funded campaign to eradicate crops of coca.,World,Americas,"Colombia: Officials Urge End to Herbicide’s Use on Coca Colombia’s Health Ministry has recommended halting the spraying of an herbicide widely used in an American-funded campaign to eradicate crops of coca. World Health Organization's finding that herbicide glyphosate 'probably' causes cancer prompts Health Ministry in Colombia to recommend stopping controversial American-funded program that sprays the chemical on crops of coca, plant from which cocaine is derived.",Brief
6,Op-Ed article by Newt Gingrich deplores how funding for National Institutes for Health has remained stagnant even as government spending on health care has increased significantly; highlights proposals by lawmakers that would encourage research and medical breakthroughs in number of areas; urges Congress to double NIH budget.,2015-04-22,article,Newt Gingrich: Double the N.I.H. Budget,55374be47988105526ded0f7,OpEd,It&#8217;s insane that we spend so much on health care and so little on research.,Opinion,,Newt Gingrich: Double the N.I.H. Budget It&#8217;s insane that we spend so much on health care and so little on research. Op-Ed article by Newt Gingrich deplores how funding for National Institutes for Health has remained stagnant even as government spending on health care has increased significantly; highlights proposals by lawmakers that would encourage research and medical breakthroughs in number of areas; urges Congress to double NIH budget.,Op-Ed
7,"Isolated rural town Beatrice, Neb, has lost much of its manufacturing jobs, but its economic anchor is now Beatrice Community Hospital and Health Center; many small towns have attracted hospitals and other health care facilities to help them survive (Series: A Shifting Middle).",2015-04-30,article,Hospitals Provide a Pulse in Struggling Rural Towns,554143cb7988101ff7f761f5,Business,"With little economic vitality amid the decline in manufacturing, small towns can be helped enormously by a well-run hospital.",Business Day,Economy,"Hospitals Provide a Pulse in Struggling Rural Towns With little economic vitality amid the decline in manufacturing, small towns can be helped enormously by a well-run hospital. Isolated rural town Beatrice, Neb, has lost much of its manufacturing jobs, but its economic anchor is now Beatrice Community Hospital and Health Center; many small towns have attracted hospitals and other health care facilities to help them survive (Series: A Shifting Middle).",News
8,"Series of studies published in journal Environmental Health Perspectives raises urgent concerns about new generation of poly- and perfluoroalkyl substances, chemicals that are used in thousands of common consumer products; previous generations of PFAs were shown to increase risk of cancer; scientists, including Linda S Birnbaum of the Health and Human Services Dept, say new crop has been insufficiently studied and may carry similar risks.",2015-05-01,article,Commonly Used Chemicals Come Under New Scrutiny,5542fa907988104edaaf468d,Business,A class of chemicals that replaced an older group found to be harmful to health is now drawing criticism for the same reason.,Business Day,,"Commonly Used Chemicals Come Under New Scrutiny A class of chemicals that replaced an older group found to be harmful to health is now drawing criticism for the same reason. Series of studies published in journal Environmental Health Perspectives raises urgent concerns about new generation of poly- and perfluoroalkyl substances, chemicals that are used in thousands of common consumer products; previous generations of PFAs were shown to increase risk of cancer; scientists, including Linda S Birnbaum of the Health and Human Services Dept, say new crop has been insufficiently studied and may carry similar risks.",News
9,,2015-04-21,article,"Oscar, a Health Insurance Start-Up, Valued at $1.5 Billion",5534fe5e7988102a708bf904,Dealbook,"The company has raised $145 million, drawing fans among investors with its approach built on technology and friendlier customer service.",Business Day,DealBook,"Oscar, a Health Insurance Start-Up, Valued at $1.5 Billion The company has raised $145 million, drawing fans among investors with its approach built on technology and friendlier customer service.  ",News
10,"Centers for Disease Control and Prevention says survivors of Ebola should abstain from sex or use condoms indefinitely until more is known, rather than three months previously recommended; statement is revision of CDC's guidelines on transmission of virus, prompted by case of woman who may have contracted disease from having sex with Liberian man who had recovered from infection many months earlier.",2015-04-20,article,Signs Ebola Spreads in Sex Prompt a C.D.C. Warning ,553468bc7988102a708bf753,Foreign,The Centers for Disease Control and Prevention urged caution for Ebola survivors after a man might have passed the virus to his partner months after recovering from it.,World,Africa,"Signs Ebola Spreads in Sex Prompt a C.D.C. Warning  The Centers for Disease Control and Prevention urged caution for Ebola survivors after a man might have passed the virus to his partner months after recovering from it. Centers for Disease Control and Prevention says survivors of Ebola should abstain from sex or use condoms indefinitely until more is known, rather than three months previously recommended; statement is revision of CDC's guidelines on transmission of virus, prompted by case of woman who may have contracted disease from having sex with Liberian man who had recovered from infection many months earlier.",News
11,"Richard M Suzman, social psychologist and longtime official at the National Institutes of Health whose signature accomplishments included research on aging, dies at age 72.",2015-05-04,article,"Richard Suzman, 72, Dies; Researcher Influenced Global Surveys on Aging",5542d95c7988104edaaf464a,Business,"At the National Institutes of Health, Dr. Suzman’s signature accomplishment was the central role he played in creating a global network of surveys on aging.",Health,,"Richard Suzman, 72, Dies; Researcher Influenced Global Surveys on Aging At the National Institutes of Health, Dr. Suzman’s signature accomplishment was the central role he played in creating a global network of surveys on aging. Richard M Suzman, social psychologist and longtime official at the National Institutes of Health whose signature accomplishments included research on aging, dies at age 72.",Obituary
12,Test your knowledge of this week’s health news.,2015-05-01,blogpost,"The Weekly Health Quiz: Calories, Gluten and a Fat-Melting Drug",554395cd7988104edaaf4815,Science,,false,false,"The Weekly Health Quiz: Calories, Gluten and a Fat-Melting Drug   Test your knowledge of this week’s health news.",Blog
13,,2015-04-22,article,Health and E-Cigarettes,55374be57988105526ded0fc,Letters,Sharon Hope Green of Columbia University writes that the displacement of cigarettes by e-cigarettes &#8220;bodes well for public health.&#8221;,Opinion,,Health and E-Cigarettes Sharon Hope Green of Columbia University writes that the displacement of cigarettes by e-cigarettes &#8220;bodes well for public health.&#8221;  ,Letter
14,"Pan American Health Organization, representing a global health panel, announces Rubella, also known as German measles, has been eliminated from the Americas after 15-year battle; Americas region is first to eradicate disease, with European region, including Eastern Europe, Russia and Central Asia, hoping to follow next.",2015-04-30,article,"Rubella Has Been Eliminated From the Americas, Health Officials Say",554126ba7988101ff7f76189,Foreign,"The disease, also known as German measles, is no longer a threat in the region, a scientific panel set up by global health authorities announced on Wednesday.",Health,,"Rubella Has Been Eliminated From the Americas, Health Officials Say The disease, also known as German measles, is no longer a threat in the region, a scientific panel set up by global health authorities announced on Wednesday. Pan American Health Organization, representing a global health panel, announces Rubella, also known as German measles, has been eliminated from the Americas after 15-year battle; Americas region is first to eradicate disease, with European region, including Eastern Europe, Russia and Central Asia, hoping to follow next.",News
15,,2015-05-02,article,10 Days of Dengue Fever,554351357988104edaaf4758,Editorial,"The disease is nothing new to those of us here in Brazil, but now it seems to be getting worse.",Opinion,,"10 Days of Dengue Fever The disease is nothing new to those of us here in Brazil, but now it seems to be getting worse.  ",Op-Ed
16,Circuit training has overthrown circuit parties in the City That Never Sleeps.,2015-05-04,blogpost,Burpee Nights,55476dd67988104245edf8d8,TStyle,,false,false,Burpee Nights   Circuit training has overthrown circuit parties in the City That Never Sleeps.,Blog
