,abstract,date,doctype,headline,id,news_desk,paragraph,section,subsection,text,type
0,,2015-11-03,article,"Know Your Risks, but Meat Still Isn’t the Enemy",56374e0a798810408f299696,Upshot,The link between processed meat and cancer is not as scary as many headlines would have you believe.,The Upshot,,"Know Your Risks, but Meat Still Isn’t the Enemy The link between processed meat and cancer is not as scary as many headlines would have you believe.  ",News
1,"Study in journal The Lancet concludes Chinese men smoke one-third of world's cigarettes, habit likely to kill one-third of young men there; number of smoking-related deaths is expected to reach three million a year by 2050.",2015-10-13,article,Study Shows Spread of Cigarettes in China,561bc3a67988101d11e0da9e,Science,"Chinese men smoke one-third of all the world’s cigarettes, and a third of all young men in China eventually die from the habit.",Health,,"Study Shows Spread of Cigarettes in China Chinese men smoke one-third of all the world’s cigarettes, and a third of all young men in China eventually die from the habit. Study in journal The Lancet concludes Chinese men smoke one-third of world's cigarettes, habit likely to kill one-third of young men there; number of smoking-related deaths is expected to reach three million a year by 2050.",News
2,"Food and Drug Administration approves Narcan nasal spray, created by Adapt Pharma Incto to reverse opioid overdoses; approval expands options for treating overdoses without medical training.",2015-11-19,article,F.D.A. Approves a Nasal Spray to Combat Opioid Overdose,564d433579881039a958bb07,National,"A nasal spray designed to reverse opioid overdoses won approval from the Food and Drug Administration, expanding the options for treating drug overdoses without medical training.",U.S.,,"F.D.A. Approves a Nasal Spray to Combat Opioid Overdose A nasal spray designed to reverse opioid overdoses won approval from the Food and Drug Administration, expanding the options for treating drug overdoses without medical training. Food and Drug Administration approves Narcan nasal spray, created by Adapt Pharma Incto to reverse opioid overdoses; approval expands options for treating overdoses without medical training.",Brief
3,,2015-11-17,article,How to Decrease Prices for an Expensive Class of Drugs,5649c243798810095961385d,Upshot,Two professors suggest requiring biologic manufacturers to disclose drug production details in exchange for a longer period of market exclusivity.,The Upshot,,How to Decrease Prices for an Expensive Class of Drugs Two professors suggest requiring biologic manufacturers to disclose drug production details in exchange for a longer period of market exclusivity.  ,News
4,,2015-10-07,article,Ragout With Farfalle Gets a Touch of Green,56143f92798810321b0fac91,Dining,The sweet taste and texture of broccoli leaves produces a stew that begs to be tossed with pasta.,Food,,Ragout With Farfalle Gets a Touch of Green The sweet taste and texture of broccoli leaves produces a stew that begs to be tossed with pasta.  ,News
5,,2015-11-10,article,Good Talks Needed to Combat HPV Vaccine Myth,564088e77988106ab0f35714,Upshot,"The low immunization rate with the vaccine, tied in part to the touchy issue of sex, has measurably negative consequences.",The Upshot,,"Good Talks Needed to Combat HPV Vaccine Myth The low immunization rate with the vaccine, tied in part to the touchy issue of sex, has measurably negative consequences.  ",News
6,Pan American Health Organization and British government have begun program to retrofit Caribbean-area hospitals to better withstand effects of hurricanes and earthquakes and be more energy efficient.,2015-10-06,article,Caribbean Hospitals Getting Help for Hurricanes,5612c405798810058bee0bb5,Science,The Pan American Health Organization and the British government have begun a “Smart Hospitals” program to retrofit vulnerable hospitals.,Health,,Caribbean Hospitals Getting Help for Hurricanes The Pan American Health Organization and the British government have begun a “Smart Hospitals” program to retrofit vulnerable hospitals. Pan American Health Organization and British government have begun program to retrofit Caribbean-area hospitals to better withstand effects of hurricanes and earthquakes and be more energy efficient.,News
7,,1910-01-24,article,Fear of Catching Cold.,4fc0575f45c1498b0d2636f5,,,,,Fear of Catching Cold.    ,Letter
8,,2015-11-04,article,Health Insurance and the States: A Closer Look,5638dfad7988106db4bd3a74,Upshot,Responding to reader comments on our effort to map the uninsured.,The Upshot,,Health Insurance and the States: A Closer Look Responding to reader comments on our effort to map the uninsured.  ,News
9,,2015-11-01,article,Touch-Screen Counseling,563387eb798810201af95d9d,EdLife,A kiosk to combat anxiety.,Education,Education Life,Touch-Screen Counseling A kiosk to combat anxiety.  ,News
10,,2015-10-27,article,Unexpected Honey Study Shows Woes of Nutrition Research,562e055f798810562db139bb,Upshot,"Almost everything we “know” is based on small, limited studies, and the limited conclusions are often overblown.",The Upshot,,"Unexpected Honey Study Shows Woes of Nutrition Research Almost everything we “know” is based on small, limited studies, and the limited conclusions are often overblown.  ",News
11,,2015-10-28,article,Ben Carson’s Health Care Plan: New and More Confusing,562fa966798810310043bfb7,Upshot,"It would be a big change, and its details are perplexing, but it involves health spending accounts.",The Upshot,,"Ben Carson’s Health Care Plan: New and More Confusing It would be a big change, and its details are perplexing, but it involves health spending accounts.  ",News
12,National Center for Health Statistics 2014 report finds 13 percent of adults in United States have smoked an e-cigarette; public health officials grapple to identify long term health effects caused by smoking electronic cigarettes. ,2015-10-28,article,"Nearly 4 Percent of U.S. Adults Regularly Use E-Cigarettes, Survey Says ",56304880798810310043c1cc,National,"Nearly 13 percent of adults in the United States have tried an e-cigarette, according to research to be published Wednesday from the National Center for Health Statistics.",U.S.,,"Nearly 4 Percent of U.S. Adults Regularly Use E-Cigarettes, Survey Says  Nearly 13 percent of adults in the United States have tried an e-cigarette, according to research to be published Wednesday from the National Center for Health Statistics. National Center for Health Statistics 2014 report finds 13 percent of adults in United States have smoked an e-cigarette; public health officials grapple to identify long term health effects caused by smoking electronic cigarettes. ",Brief
13,,2015-10-29,article,Prices Are Higher When Hospitals Buy Doctors’ Practices. That’s Set to Change.,5630c606798810310043c35c,National,A budget deal is expected to remove a big incentive that has been driving hospitals to acquire doctors’ practices.,The Upshot,,Prices Are Higher When Hospitals Buy Doctors’ Practices. That’s Set to Change. A budget deal is expected to remove a big incentive that has been driving hospitals to acquire doctors’ practices.  ,News
