,abstract,date,headline,id,paragraph,text,type
0,,2015-09-08,DNA’s Defenses,55ef25127988104d070a17db,Evelyn M. Witkin and Stephen J. Elledge received a Lasker award for insights into how cells respond to damaged DNA.,DNA’s Defenses Evelyn M. Witkin and Stephen J. Elledge received a Lasker award for insights into how cells respond to damaged DNA.  ,Video
1,,2015-09-08,On the Front Lines of an Outbreak,55ef250f7988104d070a17d8,Doctors Without Borders received a Lasker award for efforts to turn back the Ebola epidemic in West Africa.,On the Front Lines of an Outbreak Doctors Without Borders received a Lasker award for efforts to turn back the Ebola epidemic in West Africa.  ,Video
2,,2015-08-31,Born in Chiapas,55e49d1e7988100a53ed5e6c,"A look at the traditional midwife in southern Mexico, and at modern inroads into childbirth","Born in Chiapas A look at the traditional midwife in southern Mexico, and at modern inroads into childbirth  ",Slideshow
3,,2015-07-20,The Weekly Health Quiz,52cbfb1a7988100c7a2bc5f7,"In the news: nail polish dangers, distracted driving, and vitamin E for Alzheimer’s disease. Test your knowledge of this week’s health news.","The Weekly Health Quiz In the news: nail polish dangers, distracted driving, and vitamin E for Alzheimer’s disease. Test your knowledge of this week’s health news.  ",Interactive Feature
4,,2015-07-20,Paying Till It Hurts,535155ad798810363105db65,"A series of articles by the New York Times correspondent Elisabeth Rosenthal examines the price of medical care in the United States. In each installment, readers were invited to share their perspectives on managing costs and treatment.","Paying Till It Hurts A series of articles by the New York Times correspondent Elisabeth Rosenthal examines the price of medical care in the United States. In each installment, readers were invited to share their perspectives on managing costs and treatment.  ",Interactive Feature
5,,2015-07-20,Share Your Experience as a Combat Soldier,543410ee79881017f2d2829a,The Times would like to hear from combat soldiers and veterans about their deployment.,Share Your Experience as a Combat Soldier The Times would like to hear from combat soldiers and veterans about their deployment.  ,Interactive Feature
6,,2015-07-20,Share Your Experiences as a Female Soldier or Veteran,53d8080d7988102d7f3ebd58,The Times would like to hear from female soldiers and veterans about their deployment.,Share Your Experiences as a Female Soldier or Veteran The Times would like to hear from female soldiers and veterans about their deployment.  ,Interactive Feature
7,,2015-06-29,Ed Note,5591b065798810525124d1d0,TK TK TK,Ed Note    ,Interactive Feature
8,,2015-06-29,Oncologist Consult,5591b01d798810525124d1ce,TK TK TK,Oncologist Consult    ,Interactive Feature
9,,2015-06-29,ID Consult,5591afde798810525124d1cc,TK TK TK,ID Consult    ,Interactive Feature
10,,2015-06-29,Admission Notes,5591af8c798810525124d1ca,The first visit to the hospital.,Admission Notes The first visit to the hospital.  ,Interactive Feature
11,,2015-06-29,Metabolic Consult,5591aef8798810525124d1c8,There was concern that the patient had a metabolic disease.,Metabolic Consult There was concern that the patient had a metabolic disease.  ,Interactive Feature
12,,2015-06-29,MRI Report,5591ae74798810525124d1c4,The findings from an M.R.I. of the patient’s legs.,MRI Report The findings from an M.R.I. of the patient’s legs.  ,Interactive Feature
13,,2015-06-29,Rheumatologist Consult,5591adfc798810525124d1c2,The patient met with a rheumatologist.,Rheumatologist Consult The patient met with a rheumatologist.  ,Interactive Feature
14,,2015-06-23,Stillbirth: Share Your Story,558898cd7988105da13a2b82,"Stillbirth is not uncommon in the United States, but it remains shrouded in silence. We invite you to share your experience.","Stillbirth: Share Your Story Stillbirth is not uncommon in the United States, but it remains shrouded in silence. We invite you to share your experience.  ",Interactive Feature
